Date,Index
1970-01,30.8
1970-02,30.9
1970-03,31.2
1970-04,31.5
1970-05,31.3
1970-06,31.3
1970-07,31.3
1970-08,31.2
1970-09,31.8
1970-10,32.3
1970-11,32.3
1970-12,32.5
1971-01,32.8
1971-02,32.8
1971-03,32.9
1971-04,33.3
1971-05,33.4
1971-06,33.5
1971-07,33.5
1971-08,33.5
1971-09,34.3
1971-10,34.4
1971-11,34.1
1971-12,34.1
1972-01,34.1
1972-02,34.3
1972-03,34.6
1972-04,35.0
1972-05,35.1
1972-06,35.2
1972-07,35.2
1972-08,35.4
1972-09,35.6
1972-10,35.8
1972-11,35.8
1972-12,36.0
1973-01,36.4
1973-02,36.7
1973-03,37.6
1973-04,38.2
1973-05,38.9
1973-06,39.0
1973-07,39.3
1973-08,39.6
1973-09,40.7
1973-10,40.9
1973-11,41.2
1973-12,42.6
1974-01,44.4
1974-02,45.8
1974-03,46.1
1974-04,47.3
1974-05,47.5
1974-06,47.7
1974-07,48.7
1974-08,49.2
1974-09,49.8
1974-10,51.0
1974-11,51.4
1974-12,51.6
1975-01,52.2
1975-02,52.2
1975-03,52.7
1975-04,53.6
1975-05,53.9
1975-06,53.9
1975-07,54.0
1975-08,53.9
1975-09,55.1
1975-10,55.9
1975-11,55.6
1975-12,55.6
1976-01,56.7
1976-02,57.1
1976-03,57.3
1976-04,58.6
1976-05,58.9
1976-06,59.0
1976-07,59.3
1976-08,59.0
1976-09,60.4
1976-10,60.8
1976-11,60.8
1976-12,61.5
1977-01,62.1
1977-02,62.4
1977-03,62.7
1977-04,63.8
1977-05,64.4
1977-06,64.1
1977-07,63.9
1977-08,64.0
1977-09,65.0
1977-10,65.5
1977-11,64.8
1977-12,64.6
1978-01,64.9
1978-02,65.2
1978-03,65.8
1978-04,66.5
1978-05,66.9
1978-06,66.6
1978-07,66.8
1978-08,67.0
1978-09,67.7
1978-10,67.9
1978-11,67.2
1978-12,67.1
1979-01,67.2
1979-02,67.0
1979-03,67.6
1979-04,68.5
1979-05,69.0
1979-06,69.1
1979-07,69.7
1979-08,69.0
1979-09,69.9
1979-10,70.8
1979-11,70.5
1979-12,70.9
1980-01,71.6
1980-02,72.2
1980-03,72.6
1980-04,73.9
1980-05,74.5
1980-06,74.9
1980-07,74.9
1980-08,74.7
1980-09,76.0
1980-10,76.1
1980-11,76.3
1980-12,76.0
1981-01,76.8
1981-02,76.7
1981-03,77.0
1981-04,77.6
1981-05,78.3
1981-06,78.4
1981-07,78.2
1981-08,77.8
1981-09,79.0
1981-10,79.3
1981-11,79.2
1981-12,79.3
1982-01,79.3
1982-02,79.2
1982-03,79.3
1982-04,79.9
1982-05,80.2
1982-06,80.2
1982-07,79.7
1982-08,80.3
1982-09,81.5
1982-10,81.8
1982-11,81.0
1982-12,80.9
1983-01,81.0
1983-02,80.7
1983-03,81.2
1983-04,81.5
1983-05,82.4
1983-06,81.9
1983-07,81.5
1983-08,81.3
1983-09,82.3
1983-10,83.0
1983-11,82.5
1983-12,82.3
1984-01,82.5
1984-02,83.0
1984-03,83.2
1984-04,83.4
1984-05,84.0
1984-06,83.4
1984-07,83.6
1984-08,82.9
1984-09,84.2
1984-10,84.8
1984-11,84.3
1984-12,84.5
1985-01,84.8
1985-02,84.4
1985-03,84.8
1985-04,85.3
1985-05,85.4
1985-06,85.4
1985-07,85.6
1985-08,85.4
1985-09,85.5
1985-10,86.3
1985-11,85.6
1985-12,85.7
1986-01,86.0
1986-02,85.9
