Date,Nominal,Real
1980/01,30.88,78.91
1980/02,30.29,76.75
1980/03,30.38,76.38
1980/04,30.32,76.82
1980/05,32.65,82.5
1980/06,33.96,85.39
1980/07,33.36,83.4
1980/08,33.16,81.93
1980/09,34.57,85.99
1980/10,35.77,88.16
1980/11,35.65,87.39
1980/12,36.61,88.51
1981/01,38.03,91.7
1981/02,38.31,91.22
1981/03,37.79,89.48
1981/04,37.12,87.78
1981/05,36.92,87.33
1981/06,36.87,86.5
1981/07,36.03,83.46
1981/08,36.33,83
1981/09,36.45,83.79
1981/10,35.76,82.15
1981/11,36.76,84.03
1981/12,37.72,85.97
1982/01,37.02,83.75
1982/02,35.82,80.7
1982/03,35.28,79.59
1982/04,35.13,79.32
1982/05,35.83,80.48
1982/06,34.54,76.84
1982/07,34.32,75.52
1982/08,33.92,75.12
1982/09,33.57,75.06
1982/10,32.84,73.35
1982/11,33.9,74.88
1982/12,36.54,80.7
1983/01,37.86,83.57
1983/02,37.62,82.31
1983/03,37.63,82.54
1983/04,37.81,82.71
1983/05,38.25,84.23
1983/06,37.93,82.69
1983/07,38.04,82.22
1983/08,37.87,81.32
1983/09,38.24,82.65
1983/10,39.55,85.82
1983/11,39.48,84.94
1983/12,40.05,85.79
1984/01,40.49,86.4
1984/02,40.06,85.48
1984/03,41.01,87.47
1984/04,41.37,88
1984/05,40.91,87.35
1984/06,40.5,85.6
1984/07,39.61,83.7
1984/08,39.8,83.07
1984/09,40,84.42
1984/10,40.04,84.84
1984/11,40.27,84.76
1984/12,40.12,84.51
1985/01,39.61,83.33
1985/02,39.34,81.83
1985/03,39.8,82.81
1985/04,39.85,83.05
1985/05,39.92,83.03
1985/06,40.11,83.27
1985/07,40.49,84.36
1985/08,40.82,84.77
1985/09,41.25,85.42
1985/10,44.37,92.51
1985/11,46.41,96.05
1985/12,46.39,95.83
1986/01,46.71,96.32
1986/02,50,102.92
1986/03,51.16,105.39
1986/04,52.16,107.63
1986/05,54.34,112.27
1986/06,54.24,111.13
1986/07,56.87,116.23
1986/08,58.01,118.09
1986/09,57.63,117.23
1986/10,56.88,115.77
1986/11,54.68,110.76
1986/12,54.53,110.03
1987/01,55.87,111.83
1987/02,55.87,111.52
1987/03,56.34,112.56
1987/04,59.14,118.66
1987/05,59.65,119.51
1987/06,58.11,115.86
1987/07,56.11,111.08
1987/08,57.17,112.73
1987/09,58.3,115.45
1987/10,58.11,114.78
1987/11,60.14,118.21
1987/12,62.51,122.51
1988/01,62.99,122.81
1988/02,62.62,121.24
1988/03,63.05,121.99
1988/04,63.78,123.61
1988/05,64.04,123.64
1988/06,63.5,121.93
1988/07,61.76,117.94
1988/08,61.92,118.1
1988/09,61.54,117.64
1988/10,63.44,121.63
1988/11,65.09,123.97
1988/12,64.77,122.71
1989/01,63.69,119.81
1989/02,63.62,118.69
1989/03,62.62,116.98
1989/04,61.78,116.61
1989/05,59.79,112.82
1989/06,57.94,108.94
1989/07,58.4,109.51
1989/08,58.37,109.02
1989/09,57.14,106.94
1989/10,57.7,108.32
1989/11,56.88,105.63
1989/12,56.08,104.09
1990/01,55.02,101.63
1990/02,54.61,100.54
1990/03,52.35,96.19
1990/04,50.45,93.07
1990/05,51.76,95.52
1990/06,51.78,94.92
1990/07,52.68,96.13
1990/08,52.41,95.34
1990/09,55.72,101.15
1990/10,58.94,107.71
1990/11,58.95,107.41
1990/12,57.15,103.94
1991/01,57.27,104
1991/02,58.3,105.12
1991/03,57.09,103.17
1991/04,58.18,105.29
1991/05,57.94,104.89
1991/06,58.09,104.45
1991/07,58.94,105.5
1991/08,58.84,105.24
1991/09,59.27,105.8
1991/10,60.98,109.71
1991/11,60.65,108.93
1991/12,60.67,108.51
1992/01,62.24,110.72
1992/02,61.64,109.02
1992/03,59.85,105.92
1992/04,59.4,105.81
1992/05,60.18,107.04
1992/06,61.35,108.77
1992/07,60.85,106.91
1992/08,60.21,105.95
1992/09,62.36,109.8
1992/10,64.4,113.23
1992/11,64.76,113.53
1992/12,64.79,113.56
