Date,EndOfMonth,AveOfMonth
1985/07,6.4375,6.4167
1985/08,6.3125,6.2476
1985/09,6.9375,6.4972
1985/10,7.375,6.66
1985/11,7.75,7.4185
1985/12,9.0625,8.2425
1986/01,7,7.0455
1986/02,6.5,6.0256
1986/03,5.625,5.7552
1986/04,5.25,4.9661
1986/05,4.5,4.3984
1986/06,4.8125,4.5234
1986/07,4.8125,4.6298
1986/08,4.75,4.6771
1986/09,5,4.7585
1986/10,4.5,4.5365
1986/11,3.8125,3.9048
1986/12,4.5625,4.315
1987/01,5,4.3304
1987/02,4.0625,4.2768
1987/03,3.9375,3.9922
1987/04,3.75,3.7147
1987/05,3.25,3.2955
1987/06,3.625,3.3073
1987/07,3.3125,3.295
1987/08,3.5,3.3151
1987/09,3.8125,3.5142
1987/10,3.625,3.5
1987/11,3.75,3.5268
1987/12,4.125,3.9575
1988/01,4,3.6994
1988/02,4.0625,3.5852
1988/03,5,3.7734
1988/04,3.5625,3.4946
1988/05,3.5,3.4643
1988/06,3.8125,3.5938
1988/07,3.9375,3.8646
1988/08,4.1875,3.98
1988/09,5,4.0852
1988/10,4.5625,4.1712
1988/11,3.875,3.9432
1988/12,4.375,4.3625
1989/01,4.4375,4.09375
1989/02,4.5625,4.17928
1989/03,4.5,4.25426
1989/04,4.46875,4.42031
1989/05,4.96875,4.675
1989/06,5.25,5.13778
1989/07,5.34375,5.2247
1989/08,5.53125,5.38043
1989/09,5.78125,5.43125
1989/10,6.3125,6.00893
1989/11,6.46875,6.15156
1989/12,6.65625,6.44792
1990/01,6.625,6.58059
1990/02,6.75,6.64309
1990/03,6.875,6.81696
1990/04,7.3125,7.1625
1990/05,7.4375,7.25893
1990/06,7.59375,7.36458
1990/07,7.5625,7.52415
1990/08,7.78125,7.54348
1990/09,8.15625,7.76316
1990/10,8,7.81108
1990/11,8.28125,8.07656
1990/12,8.34375,8.22969
1991/01,8.0625,8.05428
1991/02,8.28125,8.12007
1991/03,8.5625,8.27813
1991/04,8.21875,8.23363
1991/05,8.03125,8.03274
1991/06,8.09375,8.04063
1991/07,7.5,7.4606
1991/08,7.53125,7.48438
1991/09,7.09375,7.04934
1991/10,6.625,6.85795
1991/11,6.25,6.38281
1991/12,5.5625,6.30952
1992/01,5.625,5.52632
1992/02,5.71875,5.68257
1992/03,6.5,5.65327
1992/04,4.8125,4.76637
1992/05,4.78125,4.74507
1992/06,4.75,4.75284
1992/07,4.09375,4.53125
1992/08,4.1875,4.11905
1992/09,5.5,4.22656
1992/10,4,4.07386
1992/11,3.90625,3.94572
1992/12,3.90625,3.89489
1993/01,3.875,3.89967
1993/02,3.21875,3.27632
1993/03,4.5,3.24185
1993/04,3.25,3.17857
1993/05,3.21875,3.2066
1993/06,3.3125,3.21429
1993/07,3.3125,3.26278
1993/08,3.03125,3.12926
1993/09,3.09375,2.85781
1993/10,2.5,2.50781
1993/11,2.40625,2.49531
1993/12,2.4375,2.44196
1994/01,2.28125,2.33125
1994/02,2.21875,2.24013
1994/03,4.5,2.25
1994/04,2.21875,2.175
1994/05,2.09375,2.09046
1994/06,2.09375,2.0625
1994/07,2.125,2.08185
1994/08,2.15625,2.13043
1994/09,2.375,2.18906
1994/10,2.28125,2.2375
1994/11,2.28125,2.26719
1994/12,2.28125,2.29315
1995/01,2.25,2.25
1995/02,2.21875,2.21719
1995/03,1.75,2.18892
1995/04,1.3125,1.525
1995/05,1.32,1.31
1995/06,1.27,1.28
1995/07,0.84,0.95
1995/08,0.86,0.88
1995/09,0.53,0.57
1995/10,0.47,0.47
1995/11,0.47,0.46
1995/12,0.46,0.46
1996/01,0.49,0.47
1996/02,0.46,0.46
1996/03,0.49,0.46
1996/04,0.5,0.49
1996/05,0.49,0.47
1996/06,0.47,0.47
1996/07,0.5,0.48
1996/08,0.47,0.44
1996/09,0.52,0.47
1996/10,0.49,0.48
1996/11,0.48,0.48
1996/12,0.44,0.49
1997/01,0.48,0.48
1997/02,0.47,0.5
1997/03,0.72,0.51
1997/04,0.53,0.5
1997/05,0.5,0.49
1997/06,0.52,0.5
1997/07,0.5,0.49
1997/08,0.51,0.48
1997/09,0.65,0.5
1997/10,0.48,0.48
1997/11,0.39,0.49
1997/12,0.47,0.39
1998/01,0.48,0.44
1998/02,0.47,0.43
1998/03,0.7,0.43
1998/04,0.46,0.44
1998/05,0.47,0.43
1998/06,0.34,0.44
1998/07,0.46,0.41
1998/08,0.45,0.43
1998/09,0.47,0.32
1998/10,0.33,0.24
1998/11,0.3,0.2
1998/12,0.32,0.25
1999/01,0.24,0.23
1999/02,0.1,0.18
1999/03,0.05,0.04
1999/04,0.03,0.03
1999/05,0.03,0.03
1999/06,0.03,0.03
1999/07,0.03,0.03
