Week,RelativeNumberOfSearches
2018-12-02,56
2018-12-09,64
2018-12-16,94
2018-12-23,89
2018-12-30,6
2019-01-06,4
2019-01-13,3
2019-01-20,3
2019-01-27,2
2019-02-03,2
2019-02-10,2
2019-02-17,2
2019-02-24,2
2019-03-03,2
2019-03-10,2
2019-03-17,2
2019-03-24,2
2019-03-31,2
2019-04-07,2
2019-04-14,2
2019-04-21,2
2019-04-28,2
2019-05-05,2
2019-05-12,2
2019-05-19,1
2019-05-26,1
2019-06-02,1
2019-06-09,2
2019-06-16,1
2019-06-23,1
2019-06-30,1
2019-07-07,2
2019-07-14,1
2019-07-21,1
2019-07-28,1
2019-08-04,2
2019-08-11,2
2019-08-18,2
2019-08-25,2
2019-09-01,3
2019-09-08,4
2019-09-15,5
2019-09-22,6
2019-09-29,6
2019-10-06,7
2019-10-13,9
2019-10-20,11
2019-10-27,16
2019-11-03,22
2019-11-10,26
2019-11-17,30
2019-11-24,37
2019-12-01,53
2019-12-08,60
2019-12-15,78
2019-12-22,100
2019-12-29,7
2020-01-05,4
2020-01-12,3
2020-01-19,3
2020-01-26,2
2020-02-02,2
2020-02-09,2
2020-02-16,2
2020-02-23,2
2020-03-01,2
2020-03-08,2
2020-03-15,2
2020-03-22,2
2020-03-29,2
2020-04-05,2
2020-04-12,1
2020-04-19,2
2020-04-26,2
2020-05-03,2
2020-05-10,2
2020-05-17,2
2020-05-24,2
2020-05-31,2
2020-06-07,1
2020-06-14,1
2020-06-21,2
2020-06-28,1
2020-07-05,1
2020-07-12,1
2020-07-19,1
2020-07-26,1
2020-08-02,1
2020-08-09,2
2020-08-16,2
2020-08-23,2
2020-08-30,2
2020-09-06,3
2020-09-13,4
2020-09-20,5
2020-09-27,6
2020-10-04,7
2020-10-11,8
2020-10-18,10
2020-10-25,13
2020-11-01,21
2020-11-08,24
2020-11-15,28
2020-11-22,33
